name=000000_00, ax=-0.010000000000000037, cx=0.009999999999999926, cz=-0.31999999999999995
name=000100_00, ax=-4.163336342344337e-17, cx=-5.551115123125783e-17, cz=0.0800000000000004
name=000000_01, ax=-0.010000000000000037, cx=0.009999999999999926, cz=-0.33999999999999997
name=000100_01, ax=-4.163336342344337e-17, cx=-5.551115123125783e-17, cz=0.0800000000000004
name=000000_02, ax=0.009999999999999953, cx=0.009999999999999926, cz=-0.2799999999999999
name=000000_03, ax=-4.163336342344337e-17, cx=0.009999999999999926, cz=-0.31999999999999995
name=000100_02, ax=-4.163336342344337e-17, cx=-5.551115123125783e-17, cz=0.0800000000000004
name=000000_04, ax=0.009999999999999953, cx=0.009999999999999926, cz=-0.2799999999999999
name=000100_03, ax=-4.163336342344337e-17, cx=-0.010000000000000064, cz=0.0800000000000004
name=000000_05, ax=-4.163336342344337e-17, cx=0.019999999999999907, cz=-0.4
name=000100_04, ax=-4.163336342344337e-17, cx=-0.010000000000000064, cz=0.0800000000000004
name=000000_06, ax=-4.163336342344337e-17, cx=0.009999999999999926, cz=-0.4
name=000100_05, ax=0.009999999999999953, cx=-5.551115123125783e-17, cz=0.060000000000000386
name=000000_07, ax=-4.163336342344337e-17, cx=0.019999999999999907, cz=-0.4
name=000100_06, ax=0.009999999999999953, cx=-5.551115123125783e-17, cz=0.060000000000000386
name=000000_08, ax=-4.163336342344337e-17, cx=0.009999999999999926, cz=-0.29999999999999993
name=000100_07, ax=-0.010000000000000037, cx=-0.010000000000000064, cz=0.0800000000000004
name=000000_09, ax=0.009999999999999953, cx=0.009999999999999926, cz=-0.33999999999999997
name=000100_08, ax=-4.163336342344337e-17, cx=-5.551115123125783e-17, cz=0.060000000000000386
name=000000_10, ax=-4.163336342344337e-17, cx=0.009999999999999926, cz=-0.4
name=000100_09, ax=-4.163336342344337e-17, cx=-5.551115123125783e-17, cz=0.060000000000000386
name=000000_11, ax=-4.163336342344337e-17, cx=0.009999999999999926, cz=-0.4
name=000100_10, ax=-4.163336342344337e-17, cx=-5.551115123125783e-17, cz=0.060000000000000386
name=000000_12, ax=-0.010000000000000037, cx=0.019999999999999907, cz=-0.4
name=000100_11, ax=-4.163336342344337e-17, cx=-5.551115123125783e-17, cz=0.060000000000000386
name=000000_13, ax=-4.163336342344337e-17, cx=0.009999999999999926, cz=-0.36
name=000100_12, ax=-4.163336342344337e-17, cx=-5.551115123125783e-17, cz=0.060000000000000386
name=000000_14, ax=-0.010000000000000037, cx=0.009999999999999926, cz=-0.2599999999999999
name=000100_13, ax=-4.163336342344337e-17, cx=-5.551115123125783e-17, cz=0.060000000000000386
name=000000_15, ax=-4.163336342344337e-17, cx=0.009999999999999926, cz=-0.2799999999999999
name=000100_14, ax=-4.163336342344337e-17, cx=-5.551115123125783e-17, cz=0.060000000000000386
name=000000_16, ax=-4.163336342344337e-17, cx=0.009999999999999926, cz=-0.2799999999999999
name=000000_17, ax=0.009999999999999953, cx=0.009999999999999926, cz=-0.2799999999999999
name=000100_15, ax=-4.163336342344337e-17, cx=-5.551115123125783e-17, cz=0.060000000000000386
name=000000_18, ax=0.009999999999999953, cx=0.009999999999999926, cz=-0.2799999999999999
name=000100_16, ax=-4.163336342344337e-17, cx=0.009999999999999926, cz=-0.1599999999999998
name=000000_19, ax=-4.163336342344337e-17, cx=0.009999999999999926, cz=-0.36
name=000100_17, ax=0.009999999999999953, cx=0.009999999999999926, cz=0.04000000000000037
name=000001_00, ax=-4.163336342344337e-17, cx=0.019999999999999907, cz=-0.4
name=000100_18, ax=-4.163336342344337e-17, cx=0.019999999999999907, cz=-0.33999999999999997
name=000001_01, ax=-4.163336342344337e-17, cx=0.009999999999999926, cz=-0.4
